Unit,Bird_ID,Hemisphere,Track,Depth,Unit_letter,Method,Accuracy,Stimulus
W32_Rhem_1_3.05_B,W32,Rhem,1,3.05,B,rcorr,0.198444444,Male_song_3
W32_Rhem_1_3.05_B,W32,Rhem,1,3.05,B,rcorr,0.236666667,White_noise
W32_Rhem_1_3.05_C,W32,Rhem,1,3.05,C,rcorr,0.327111111,Female_call
W32_Rhem_1_3.05_C,W32,Rhem,1,3.05,C,rcorr,0.252111111,Male_song_1
W32_Rhem_1_3.05_C,W32,Rhem,1,3.05,C,rcorr,0.274111111,Male_song_2
W32_Rhem_1_3.05_C,W32,Rhem,1,3.05,C,rcorr,0.138555556,Male_song_3
W32_Rhem_1_3.05_C,W32,Rhem,1,3.05,C,rcorr,0.164222222,White_noise
Bl86-R20_Lhem_2_3.90_B,Bl86-R20,Lhem,2,3.9,B,rcorr,0.329555556,Female_call
Bl86-R20_Lhem_2_3.90_B,Bl86-R20,Lhem,2,3.9,B,rcorr,0.150555556,Male_song_1
Bl86-R20_Lhem_2_3.90_B,Bl86-R20,Lhem,2,3.9,B,rcorr,0.182888889,Male_song_2
Bl86-R20_Lhem_2_3.90_B,Bl86-R20,Lhem,2,3.9,B,rcorr,0.112444444,Male_song_3
Bl86-R20_Lhem_2_3.90_B,Bl86-R20,Lhem,2,3.9,B,rcorr,0.223555556,White_noise
Bl86-R20_Lhem_2_4.00_C,Bl86-R20,Lhem,2,4,C,rcorr,0.344777778,Female_call
Bl86-R20_Lhem_2_4.00_C,Bl86-R20,Lhem,2,4,C,rcorr,0.263333333,Male_song_1
Bl86-R20_Lhem_2_4.00_C,Bl86-R20,Lhem,2,4,C,rcorr,0.246666667,Male_song_2
Bl86-R20_Lhem_2_4.00_C,Bl86-R20,Lhem,2,4,C,rcorr,0.216666667,Male_song_3
Bl86-R20_Lhem_2_4.00_C,Bl86-R20,Lhem,2,4,C,rcorr,0.164777778,White_noise
Bl86-R20_Lhem_2_3.90_C,Bl86-R20,Lhem,2,3.9,C,rcorr,0.314666667,Female_call
Bl86-R20_Lhem_2_3.90_C,Bl86-R20,Lhem,2,3.9,C,rcorr,0.254333333,Male_song_1
Bl86-R20_Lhem_2_3.90_C,Bl86-R20,Lhem,2,3.9,C,rcorr,0.194,Male_song_2
Bl86-R20_Lhem_2_3.90_C,Bl86-R20,Lhem,2,3.9,C,rcorr,0.239111111,Male_song_3
Bl86-R20_Lhem_2_3.90_C,Bl86-R20,Lhem,2,3.9,C,rcorr,0.227555556,White_noise
Bl86-R20_Lhem_2_4.00_B,Bl86-R20,Lhem,2,4,B,rcorr,0.374111111,Female_call
Bl86-R20_Lhem_2_4.00_B,Bl86-R20,Lhem,2,4,B,rcorr,0.197111111,Male_song_1
Bl86-R20_Lhem_2_4.00_B,Bl86-R20,Lhem,2,4,B,rcorr,0.207333333,Male_song_2
