Unit_ID,Bird_ID,Hemisphere,Trial,Unit_letter,Stimulus,p.value
R37-R3_Lhem_T2TRIAL2.45_B,R37-R3,Lhem,T2TRIAL2.45,B,White_noise,0.528612125
R37-R3_Lhem_T2TRIAL2.45_C,R37-R3,Lhem,T2TRIAL2.45,C,White_noise,0.008848774
R37-R3_Lhem_T2TRIAL2.55_A,R37-R3,Lhem,T2TRIAL2.55,A,White_noise,0.140994081
R37-R3_Lhem_T2TRIAL2.55_B,R37-R3,Lhem,T2TRIAL2.55,B,White_noise,0.059006038
R37-R3_Lhem_T2TRIAL2.65_A,R37-R3,Lhem,T2TRIAL2.65,A,White_noise,0.009151689
R37-R3_Lhem_T2TRIAL2.65_B,R37-R3,Lhem,T2TRIAL2.65,B,White_noise,0.00588927
R37-R3_Lhem_T2TRIAL2.70_A,R37-R3,Lhem,T2TRIAL2.70,A,White_noise,0.005857099
R37-R3_Lhem_T2TRIAL2.70_B,R37-R3,Lhem,T2TRIAL2.70,B,White_noise,0.00588927
R37-R3_Lhem_T2TRIAL2.75_A,R37-R3,Lhem,T2TRIAL2.75,A,White_noise,0.00800431
R37-R3_Lhem_T2TRIAL2.75_B,R37-R3,Lhem,T2TRIAL2.75,B,White_noise,0.005761163
R37-R3_Lhem_T2TRIAL2.80_A,R37-R3,Lhem,T2TRIAL2.80,A,White_noise,0.001953125
R37-R3_Lhem_T2TRIAL2.80_B,R37-R3,Lhem,T2TRIAL2.80,B,White_noise,0.005857099
R37-R3_Lhem_T2TRIAL2.90_A,R37-R3,Lhem,T2TRIAL2.90,A,White_noise,0.005857099
R37-R3_Lhem_T2TRIAL2.90_B,R37-R3,Lhem,T2TRIAL2.90,B,White_noise,0.005857099
